to bring,traer,trayendo,traigo,traes,trae,traemos,traen,traje,trajiste,trajo,trajimos,trajeron
to use,usar,usando,uso,usas,usa,usamos,usan,usé,usaste,usó,usamos,usaron
to go,ir,yendo,voy,vas,va,vamos,van,fui,fuiste,fue,fuimos,fueron
to see,ver,viendo,veo,ves,ve,vemos,ven,ví,viste,vio,vimos,vieron
to sell,vender,vendiendo,vendo,vendes,vende,vendemos,venden,vendí,vendiste,vendió,vendimos,vendieron
to come,venir,viniendo,vengo,vienes,viene,venimos,vienen,vine,viniste,vino,vinimos,vinieron
to travel,viajar,viajando,viajo,viajas,viaja,viajamos,viajan,viajé,viajaste,viajó,viajamos,viajaron
to visit,visitar,visitando,visito,visitas,visita,visitamos,visitan,visité,visitaste,visitó,visitamos,visitaron
to live,vivir,viviendo,vivo,vives,vive,vivimos,viven,viví,viviste,vivió,vivimos,vivieron
to return to a place; to repeat an action,volver,volviendo,vuelvo,vuelves,vuelve,volvemos,vuelven,volví,volviste,volvió,volvimos,volvieron
